id,tissue ,organ,conductivity ,relative permativity,loss tangent,conductivity ,relative permativity,loss tangent,conductivity ,relative permativity,loss tangent,conductivity ,relative permativity,loss tangent,conductivity ,relative permativity,loss tangent,conductivity ,relative permativity,loss tangent,conductivity ,relative permativity,loss tangent,conductivity ,relative permativity,loss tangent
,,,300,,,400,,,500,,,600,,,700,,,800,,,900,,,1000,,
104,Air,sinuses/mouth cavity,0,1,,,,,,,,,,,,,,,,,,,,,,
23,Blood,blood pool,1.3161,65.65,1.2012,1.3496,64.183,0.94495,1.3834,63.257,0.78622,1.4186,62.603,0.67889,1.4559,62.103,0.60201,1.4956,61.7,0.54466,1.5379,61.36,0.50059,1.5829,61.065,0.46596
84,Blood,superior sagittal sinus,1.3161,65.65,1.2012,1.3496,64.183,0.94495,1.3834,63.257,0.78622,1.4186,62.603,0.67889,1.4559,62.103,0.60201,1.4956,61.7,0.54466,1.5379,61.36,0.50059,1.5829,61.065,0.46596
72,Body Fluid,parotid gland,1.5177,69.017,1.3176,1.5293,69,0.99599,1.5441,68.984,0.80472,1.5622,68.967,0.67864,1.5836,68.947,0.58982,1.6083,68.926,0.52428,1.6362,68.902,0.47428,1.6673,68.875,0.43514
97,Body Fluid,pituitary gland,1.5177,69.017,1.3176,1.5293,69,0.99599,1.5441,68.984,0.80472,1.5622,68.967,0.67864,1.5836,68.947,0.58982,1.6083,68.926,0.52428,1.6362,68.902,0.47428,1.6673,68.875,0.43514
9,Bone Cancellous,skeletal muscle,0.21556,23.163,0.55761,0.23459,22.443,0.46974,0.25397,21.95,0.41597,0.27407,21.575,0.38057,0.29507,21.272,0.3562,0.31703,21.014,0.33899,0.34,20.788,0.32667,0.36395,20.584,0.31783
5,Bone Cancellous,spine,0.21556,23.163,0.55761,0.23459,22.443,0.46974,0.25397,21.95,0.41597,0.27407,21.575,0.38057,0.29507,21.272,0.3562,0.31703,21.014,0.33899,0.34,20.788,0.32667,0.36395,20.584,0.31783
125,Bone Cancellous,teeth,0.21556,23.163,0.55761,0.23459,22.443,0.46974,0.25397,21.95,0.41597,0.27407,21.575,0.38057,0.29507,21.272,0.3562,0.31703,21.014,0.33899,0.34,20.788,0.32667,0.36395,20.584,0.31783
4,Bone Cancellous,skull,0.21556,23.163,0.55761,0.23459,22.443,0.46974,0.25397,21.95,0.41597,0.27407,21.575,0.38057,0.29507,21.272,0.3562,0.31703,21.014,0.33899,0.34,20.788,0.32667,0.36395,20.584,0.31783
70,Bone Cortical,dens of axis,0.082662,13.439,0.36855,0.091336,13.147,0.3122,0.10047,12.946,0.27901,0.1102,12.791,0.25812,0.12058,12.663,0.24452,0.13161,12.552,0.2356,0.14331,12.454,0.22984,0.15566,12.363,0.22632
76,Bone Cortical,hard palate,0.082662,13.439,0.36855,0.091336,13.147,0.3122,0.10047,12.946,0.27901,0.1102,12.791,0.25812,0.12058,12.663,0.24452,0.13161,12.552,0.2356,0.14331,12.454,0.22984,0.15566,12.363,0.22632
81,Bone Cortical,horn of mandible,0.082662,13.439,0.36855,0.091336,13.147,0.3122,0.10047,12.946,0.27901,0.1102,12.791,0.25812,0.12058,12.663,0.24452,0.13161,12.552,0.2356,0.14331,12.454,0.22984,0.15566,12.363,0.22632
71,Bone Cortical,jaw bone,0.082662,13.439,0.36855,0.091336,13.147,0.3122,0.10047,12.946,0.27901,0.1102,12.791,0.25812,0.12058,12.663,0.24452,0.13161,12.552,0.2356,0.14331,12.454,0.22984,0.15566,12.363,0.22632
100,Bone Cortical,turbinates,0.082662,13.439,0.36855,0.091336,13.147,0.3122,0.10047,12.946,0.27901,0.1102,12.791,0.25812,0.12058,12.663,0.24452,0.13161,12.552,0.2356,0.14331,12.454,0.22984,0.15566,12.363,0.22632
102,Bone Cortical,zygoma,0.082662,13.439,0.36855,0.091336,13.147,0.3122,0.10047,12.946,0.27901,0.1102,12.791,0.25812,0.12058,12.663,0.24452,0.13161,12.552,0.2356,0.14331,12.454,0.22984,0.15566,12.363,0.22632
26,Bone Marrow,bone marrow,0.082662,13.439,0.36855,0.091336,13.147,0.3122,0.10047,12.946,0.27901,0.1102,12.791,0.25812,0.12058,12.663,0.24452,0.13161,12.552,0.2356,0.14331,12.454,0.22984,0.15566,12.363,0.22632
118,Brain Grey Matter,amygdala,0.6924,60.022,0.6912,0.73748,57.435,0.57702,0.77907,55.833,0.50165,0.81939,54.724,0.44859,0.85962,53.899,0.40956,0.90044,53.252,0.37993,0.94227,52.725,0.35694,0.98541,52.282,0.3388
101,Brain Grey Matter,caudate nucleus,0.6924,60.022,0.6912,0.73748,57.435,0.57702,0.77907,55.833,0.50165,0.81939,54.724,0.44859,0.85962,53.899,0.40956,0.90044,53.252,0.37993,0.94227,52.725,0.35694,0.98541,52.282,0.3388
89,Brain Grey Matter,frontal lobes,0.6924,60.022,0.6912,0.73748,57.435,0.57702,0.77907,55.833,0.50165,0.81939,54.724,0.44859,0.85962,53.899,0.40956,0.90044,53.252,0.37993,0.94227,52.725,0.35694,0.98541,52.282,0.3388
120,Brain Grey Matter,globus pallidus,0.6924,60.022,0.6912,0.73748,57.435,0.57702,0.77907,55.833,0.50165,0.81939,54.724,0.44859,0.85962,53.899,0.40956,0.90044,53.252,0.37993,0.94227,52.725,0.35694,0.98541,52.282,0.3388
